name	center	alpha_beta	num_gene	fully_nocall	concordance	lowq_rate	mean_rc	median_rc	refset_size
NA20516	BCM	886.07	106	9	0.9792	0.088	96.833	85.161	3
NA20517	BCM	12317.35	106	1	0.9904	0.016	90.256	79.672	18
NA20518	BCM	10268.69	106	3	0.9899	0.031	83.129	73.000	16
NA20519	BCM	13437.96	106	0	1.0000	0.000	82.896	72.612	17
NA20520	BCM	859.29	106	14	0.9674	0.137	96.588	87.000	6
NA20521	BCM	5460.83	106	1	0.9937	0.010	63.386	55.796	12
NA20522	BCM	20820.94	106	1	0.9902	0.011	81.350	71.678	15
NA20524	BCM	11447.09	106	0	0.9930	0.002	57.332	50.382	10
NA20525	BCM	7287.74	106	2	0.9949	0.019	65.477	57.485	12
NA20527	BCM	2972.03	106	5	0.9800	0.050	105.281	92.217	8
NA20528	BCM	4778.36	106	6	0.9896	0.057	99.894	86.000	9
NA20529	BCM	2713.01	106	5	0.9794	0.049	100.830	87.000	7
NA20530	BCM	2555.32	106	24	1.0000	0.241	61.904	54.000	11
NA20531	BCM	13158.69	106	0	0.9987	0.002	104.555	92.000	23
NA20532	BCM	9018.92	106	2	0.9806	0.019	66.404	58.378	12
NA20533	BCM	3470.61	106	9	0.9950	0.087	71.419	62.000	14
NA20534	BCM	369.27	106	45	0.9325	0.449	88.541	74.857	3
NA20535	BCM	4990.71	106	2	0.9437	0.026	127.591	112.096	19
NA20536	BCM	12429.28	106	2	0.9998	0.020	93.463	82.000	17
NA20538	BCM	5490.65	106	2	1.0000	0.019	118.649	104.000	14
NA20539	BCM	1153.91	106	21	0.9762	0.208	61.514	53.000	7
NA20540	BCM	7344.73	106	0	0.9952	0.000	109.811	96.774	12
NA20541	BCM	8961.33	106	0	1.0000	0.002	93.846	82.785	19
NA20542	BGI	16486.92	100	0	0.9974	0.006	150.193	135.000	14
NA20543	BGI	23772.97	100	0	0.9888	0.003	224.316	201.872	21
NA20544	BGI	24200.73	100	1	0.9867	0.011	205.489	184.127	18
NA20581	BGI	12759.59	100	2	0.9823	0.027	197.372	176.350	17
NA20582	BGI	23017.51	100	0	1.0000	0.000	208.685	183.529	19
NA20585	BGI	22896.29	100	0	0.9967	0.000	213.631	188.000	19
NA20586	BGI	21707.09	100	1	1.0000	0.011	171.312	153.750	14
NA20587	BI	340.02	105	85	1.0000	0.823	106.869	93.384	7
NA20588	BGI	11009.65	100	2	1.0000	0.031	172.797	156.098	15
NA20589	BGI	26453.21	100	0	0.9997	0.003	204.438	182.466	18
NA20752	BGI	39969.55	100	0	1.0000	0.000	213.092	190.000	18
NA20753	BGI	42611.24	100	0	1.0000	0.003	228.780	203.000	21
NA20754	BGI	35012.57	100	0	1.0000	0.001	185.694	164.324	16
NA20755	BGI	17509.20	100	0	0.9974	0.000	183.071	162.909	16
NA20756	BGI	34863.55	100	0	0.9883	0.000	227.465	203.000	19
NA20757	BGI	34735.11	100	0	0.9957	0.001	189.500	168.000	16
NA20758	BGI	16078.76	100	0	1.0000	0.003	182.507	162.931	16
NA20759	BGI	771.61	100	25	0.9855	0.285	201.186	178.588	7
NA20760	BGI	29857.38	100	1	0.9995	0.010	163.536	143.000	15
NA20761	BGI	14606.85	100	2	0.9988	0.021	143.930	129.081	11
NA20762	BGI	4002.48	100	2	0.9796	0.020	165.698	152.113	5
NA20763	BGI	6376.87	100	3	0.9792	0.031	167.632	154.000	7
NA20764	BGI	4255.54	100	2	0.9786	0.020	167.286	154.000	6
NA20765	BGI	21297.43	100	1	0.9962	0.010	198.428	178.588	18
NA20766	BI	25803.07	105	2	0.9964	0.023	77.665	66.408	17
NA20767	BGI	2990.73	100	3	0.9789	0.036	170.499	157.000	5
NA20768	BI	20425.56	105	0	0.9951	0.002	77.726	66.575	17
NA20769	BI	24004.54	105	0	0.9971	0.000	91.931	79.000	21
NA20770	BI	20413.39	105	2	0.9911	0.019	84.713	72.245	19
NA20771	BI	28961.21	105	0	0.9979	0.000	83.046	71.000	19
NA20772	BI	17738.50	105	4	0.9977	0.039	87.415	75.000	20
NA20773	BI	19770.35	105	1	0.9899	0.010	92.483	79.160	21
NA20774	BI	25120.31	105	2	0.9959	0.019	76.275	65.098	17
NA20775	BI	17610.25	105	2	0.9978	0.020	79.464	68.000	18
NA20778	BI	11361.78	105	3	0.9823	0.030	84.787	72.147	19
NA20783	BI	8050.40	105	3	1.0000	0.029	87.866	76.000	19
NA20785	BI	10405.66	105	4	1.0000	0.041	79.654	68.710	18
NA20786	BI	9958.31	105	4	0.9885	0.045	80.923	69.114	18
NA20787	BI	5717.88	105	8	0.9820	0.078	86.193	73.000	17
NA20790	BI	23657.13	105	2	0.9987	0.026	76.847	66.000	17
NA20792	BI	17369.85	105	2	1.0000	0.019	85.282	73.000	19
NA20795	BI	25586.15	105	0	1.0000	0.000	79.975	68.994	18
NA20796	BI	5896.47	105	2	0.9902	0.019	135.836	116.939	12
NA20797	BI	5719.44	105	3	0.9878	0.029	106.915	90.968	10
NA20798	BI	14478.79	105	3	0.9900	0.029	120.185	101.947	17
NA20799	BI	9684.79	105	0	0.9904	0.005	128.512	110.000	17
NA20800	BI	17114.45	105	3	0.9816	0.029	116.410	98.873	16
NA20801	BI	14204.75	105	2	0.9899	0.020	135.500	115.116	18
NA20802	BI	9137.38	105	1	0.9901	0.010	167.443	144.526	17
NA20803	BI	5740.70	105	12	0.9739	0.121	120.404	102.254	15
NA20804	BI	16738.80	105	1	0.9904	0.014	125.960	107.711	16
NA20805	BI	2009.48	105	20	0.9590	0.194	113.388	97.110	7
NA20806	BI	1273.56	105	29	0.9861	0.298	148.351	124.959	8
NA20807	WUGSC	15105.41	105	4	1.0000	0.038	110.625	97.000	16
NA20808	WUGSC	14195.18	105	1	1.0000	0.011	108.568	94.699	16
NA20809	WUGSC	14679.27	105	4	0.9994	0.040	108.264	94.000	15
NA20810	WUGSC	14442.52	105	0	1.0000	0.000	110.289	96.000	16
NA20811	WUGSC	23170.66	105	2	0.9987	0.023	116.333	101.627	16
NA20812	WUGSC	3236.91	105	8	0.9862	0.079	123.845	107.668	11
NA20813	WUGSC	8155.14	105	6	0.9681	0.061	119.110	104.000	16
NA20814	WUGSC	12838.50	105	5	1.0000	0.050	117.608	103.000	15
NA20815	WUGSC	4128.66	105	4	1.0000	0.039	178.360	156.000	14
NA20818	WUGSC	76.00	105	95	0.5000	0.926	150.450	129.000	3
NA20819	WUGSC	14040.92	105	1	1.0000	0.011	113.767	99.823	15
NA20821	BGI	4377.01	100	1	0.9827	0.015	151.758	140.535	7
NA20822	BGI	5426.01	100	2	0.9896	0.025	159.469	147.000	8
NA20826	WUGSC	1873.38	105	12	0.9382	0.127	144.566	125.681	5
NA20827	WUGSC	3282.26	105	21	1.0000	0.203	40.475	36.585	10
NA20828	WUGSC	4892.76	105	4	0.9814	0.047	152.058	133.000	12
NA20832	WUGSC	5753.35	105	8	1.0000	0.078	63.988	58.286	12
