Population	gene	refcn	num_exon	num_samples	is_ref	nocall_rate	Comb_conc	Ref_conc	Nonref_conc
AFR	OCLN	4	5	685	361	0.003	0.9906	0.9873	0.9938
AFR	ORM1	4	6	685	551	0.016	0.9951	0.9959	0.9922
AFR	OTOA	4	9	685	47	0.013	0.9998	1.0000	0.9998
AFR	PDPK1	4	9	685	674	0.006	0.9969	0.9968	1.0000
AFR	PDPR	4	15	685	184	0.068	1.0000	1.0000	1.0000
AFR	PDZK1	4	7	685	683	0.002	0.9997	1.0000	0.9167
AFR	PGA3	6	9	685	228	0.060	0.9145	0.9006	0.9197
AFR	PPIP5K1	4	26	685	654	0.002	0.9994	0.9997	0.9948
AFR	PRB1	4	4	685	519	0.119	0.9446	0.9468	0.9400
AFR	RABL2A	4	8	685	684	0.004	1.0000	1.0000	1.0000
AFR	RHCE	4	10	685	497	0.007	0.9997	1.0000	0.9988
AFR	ROPN1	4	3	685	685	0.016	1.0000	1.0000	NA
AFR	RRP7A	4	6	685	483	0.098	0.9860	0.9950	0.9647
AFR	RSPH10B	4	19	685	685	0.006	0.9917	0.9917	NA
AFR	SAA1	4	2	685	685	0.135	1.0000	1.0000	NA
AFR	SERF1A	4	3	685	452	0.111	0.9944	0.9929	0.9969
AFR	SERHL2	4	9	685	480	0.009	0.9968	0.9977	0.9950
AFR	SERPINB3	4	5	685	46	0.007	0.6268	NA	0.6268
AFR	SMN1	4	9	685	448	0.015	0.9988	1.0000	0.9969
AFR	SMPD4	4	18	685	681	0.003	0.9953	0.9953	1.0000
AFR	SPAG11A	4	4	685	243	0.112	0.7626	0.7527	0.7673
AFR	STRC	4	28	685	654	0.001	0.9997	1.0000	0.9931
AFR	SUZ12	4	8	685	641	0.032	0.9957	0.9983	0.9576
AFR	TBC1D26	4	7	685	636	0.049	1.0000	1.0000	1.0000
AFR	TCP10L2	4	6	685	682	0.011	0.9984	1.0000	0.6667
AFR	THOC3	4	6	685	685	0.004	1.0000	1.0000	NA
AFR	TIMM23	4	7	685	665	0.010	0.9909	0.9906	1.0000
AFR	TRIM16	4	7	685	683	0.000	0.9998	1.0000	0.9286
AFR	TRIM49	6	6	685	682	0.094	0.9948	0.9948	1.0000
AFR	TRIM74	6	4	685	675	0.074	1.0000	1.0000	1.0000
AFR	TUBA3D	4	5	685	681	0.020	0.9978	0.9978	1.0000
AFR	TVP23B	4	7	685	683	0.007	1.0000	1.0000	1.0000
AFR	UGT2B15	4	2	685	409	0.030	0.9887	0.9827	0.9963
AFR	XCL1	4	3	685	685	0.060	1.0000	1.0000	NA
AFR	ZNF443	4	3	685	662	0.017	1.0000	1.0000	1.0000
AFR	ZNF658	4	4	685	545	0.021	1.0000	1.0000	1.0000
AFR	ZNF773	4	3	685	683	0.052	0.9992	1.0000	0.5000
AMR	ABCC6_refcn4	4	5	350	339	0.019	1.0000	1.0000	1.0000
AMR	ACOT1	4	3	350	101	0.003	1.0000	1.0000	1.0000
AMR	ACSM2A	4	12	350	348	0.000	0.9997	1.0000	0.9500
AMR	ACSM5	4	11	350	348	0.003	0.9994	1.0000	0.9000
AMR	ACTR3B	4	8	350	349	0.002	1.0000	1.0000	1.0000
AMR	AKR1B10	4	4	350	350	0.009	1.0000	1.0000	NA
AMR	AKR1C1	4	7	350	350	0.005	1.0000	1.0000	NA
AMR	AKR7A3	4	3	350	350	0.056	1.0000	1.0000	NA
AMR	ALPP	4	7	350	110	0.047	0.8718	0.9880	0.8297
AMR	ANXA8_refcn4	4	11	350	305	0.006	0.9907	0.9928	0.9778
AMR	AQP12A	4	3	350	346	0.145	0.9892	0.9927	0.6667
AMR	ATAD3A_refcn4	4	10	350	345	0.025	0.9874	0.9872	1.0000
AMR	BMP8A	4	5	350	350	0.025	1.0000	1.0000	NA
AMR	C1QTNF9	4	2	350	350	0.040	1.0000	1.0000	NA
AMR	C4A	4	41	350	188	0.008	0.9409	0.9568	0.9249
AMR	CATSPER2	4	12	350	336	0.010	0.9943	1.0000	0.8465
AMR	CCDC74A	4	8	350	345	0.028	1.0000	1.0000	1.0000
AMR	CD8B	4	5	350	350	0.095	1.0000	1.0000	NA
AMR	CDK11A	4	16	265	234	0.028	0.9994	1.0000	0.9947
AMR	CDRT1	4	13	350	349	0.000	0.9997	1.0000	0.9167
AMR	CEL	4	5	265	250	0.037	0.9931	0.9954	0.9538
AMR	CELA3A	4	7	350	336	0.007	1.0000	1.0000	1.0000
AMR	CEP170_refcn4	4	15	265	264	0.006	1.0000	1.0000	1.0000
AMR	CFC1	4	6	350	350	0.025	0.9979	0.9979	NA
AMR	CHRNA7	4	6	350	275	0.004	1.0000	1.0000	1.0000
AMR	CKMT1A	4	9	350	338	0.000	0.9969	1.0000	0.9167
AMR	CSH1_refcn4	4	2	350	348	0.134	1.0000	1.0000	1.0000
AMR	CTRB1	4	5	350	350	0.080	0.9467	0.9467	NA
AMR	CYP11B1	4	6	350	350	0.037	1.0000	1.0000	NA
AMR	CYP21A2	4	10	350	231	0.052	0.9661	0.9944	0.9217
AMR	CYP2D6	4	9	350	304	0.077	0.9797	0.9882	0.9268
AMR	CYP2F1	4	5	350	350	0.025	1.0000	1.0000	NA
AMR	CYP4A11	4	11	350	350	0.003	1.0000	1.0000	NA
AMR	CYP4Z1	4	8	350	350	0.000	1.0000	1.0000	NA
AMR	DDX11_refcn6	6	25	350	347	0.008	0.9969	1.0000	0.5000
AMR	DEFB103A	4	2	350	350	0.000	1.0000	1.0000	NA
AMR	DEFB104A	4	2	350	163	0.159	1.0000	1.0000	1.0000
AMR	DEFB105A	4	3	350	231	0.057	0.9317	0.9362	0.9279
AMR	DEFB106A	4	2	350	182	0.123	0.9688	0.9636	0.9726
AMR	DEFB107A	4	2	265	197	0.075	0.9580	0.9494	0.9688
AMR	DEFB4A	4	2	350	305	0.141	0.9494	0.9459	0.9524
AMR	DHX40	4	11	350	337	0.012	1.0000	1.0000	1.0000
AMR	EIF3C	4	20	350	294	0.003	0.9976	0.9971	1.0000
AMR	EMB_refcn4	4	6	350	347	0.019	0.9984	0.9984	1.0000
AMR	FAM185A	4	7	48	48	0.022	1.0000	1.0000	NA
AMR	FBXW10	4	12	350	349	0.000	1.0000	1.0000	1.0000
AMR	FCGBP	4	18	350	32	0.093	0.6463	NA	0.6463
AMR	FCGR1A	6	6	350	267	0.028	1.0000	1.0000	1.0000
AMR	FCGR3A	4	5	350	242	0.008	0.9740	0.9861	0.9495
AMR	FKBP9	4	9	350	350	0.000	1.0000	1.0000	NA
AMR	FOLH1	4	18	350	350	0.003	0.9969	0.9969	NA
AMR	GBA	4	6	350	350	0.028	0.9968	0.9968	NA
AMR	GBP1	4	2	350	350	0.041	1.0000	1.0000	NA
AMR	GPR89A	4	14	350	348	0.000	1.0000	1.0000	1.0000
AMR	GRAP	4	3	350	181	0.148	0.9832	0.9850	0.9815
AMR	GSTT2	4	4	350	153	0.022	0.9887	0.9855	0.9898
AMR	GTF2H2	6	15	350	88	0.047	0.9242	0.8644	0.9379
AMR	GTF2I	6	22	350	243	0.089	0.8143	0.9548	0.5262
AMR	HBG1	4	3	350	350	0.028	0.9903	0.9903	NA
AMR	IFNL2	4	6	350	350	0.068	1.0000	1.0000	NA
AMR	KIF27	4	15	350	350	0.003	1.0000	1.0000	NA
AMR	KRT6A	6	5	350	350	0.059	1.0000	1.0000	NA
AMR	KRT81	4	3	350	350	0.027	1.0000	1.0000	NA
AMR	LIMS1	6	9	350	350	0.010	0.9969	0.9969	NA
AMR	LYZL1	4	3	350	350	0.031	1.0000	1.0000	NA
AMR	MSTO1	4	14	350	350	0.003	1.0000	1.0000	NA
AMR	MTX1	4	5	350	348	0.038	1.0000	1.0000	1.0000
AMR	NCF1	6	11	350	338	0.069	1.0000	1.0000	1.0000
AMR	NOMO1_refcn6	6	22	350	336	0.007	0.9811	0.9802	1.0000
AMR	NOX4	4	10	350	350	0.006	1.0000	1.0000	NA
AMR	OCLN	4	5	350	113	0.014	0.9969	0.9884	1.0000
AMR	ORM1	4	6	350	293	0.160	0.9771	1.0000	0.8537
AMR	OTOA	4	9	350	32	0.037	0.9937	1.0000	0.9935
AMR	PDPK1	4	9	350	308	0.014	0.9917	1.0000	0.9358
AMR	PDPR	4	15	265	105	0.009	0.9958	1.0000	0.9937
AMR	PDZK1	4	7	350	348	0.000	1.0000	1.0000	1.0000
AMR	PGA3	6	9	350	131	0.077	0.7396	0.7957	0.7137
AMR	PPIP5K1	4	26	350	337	0.004	0.9775	0.9865	0.7635
AMR	PRB1	4	4	350	309	0.115	0.9707	0.9806	0.9091
AMR	RABL2A	4	8	350	350	0.003	1.0000	1.0000	NA
AMR	RHCE	4	10	350	225	0.004	0.9956	1.0000	0.9885
AMR	ROPN1	4	3	350	350	0.028	1.0000	1.0000	NA
AMR	RRP7A	4	6	350	317	0.096	0.9966	0.9962	1.0000
AMR	RSPH10B	4	19	350	349	0.000	0.9998	0.9998	1.0000
AMR	SAA1	4	2	350	350	0.174	1.0000	1.0000	NA
AMR	SERF1A	4	3	350	223	0.085	0.9899	0.9944	0.9831
AMR	SERHL2	4	9	350	315	0.000	0.9938	0.9965	0.9714
AMR	SERPINB3	4	5	350	25	0.003	0.5972	NA	0.5972
AMR	SMN1	4	9	350	193	0.029	0.9933	1.0000	0.9864
AMR	SMPD4	4	18	350	345	0.001	0.9969	0.9969	1.0000
AMR	SPAG11A	4	4	350	158	0.074	0.9869	0.9902	0.9846
AMR	STRC	4	28	350	337	0.001	0.9938	1.0000	0.8462
AMR	SUZ12	4	8	350	349	0.019	0.9965	0.9969	0.8750
AMR	TBC1D26	4	7	350	347	0.129	1.0000	1.0000	1.0000
AMR	TCP10L2	4	6	350	350	0.024	1.0000	1.0000	NA
AMR	THOC3	4	6	350	349	0.006	1.0000	1.0000	1.0000
AMR	TIMM23	4	7	350	348	0.004	1.0000	1.0000	1.0000
AMR	TRIM16	4	7	350	350	0.000	1.0000	1.0000	NA
AMR	TRIM49	6	6	350	350	0.062	0.9967	0.9967	NA
AMR	TRIM74	6	4	350	343	0.090	1.0000	1.0000	1.0000
AMR	TUBA3D	4	5	350	345	0.022	1.0000	1.0000	1.0000
AMR	TVP23B	4	7	350	349	0.003	0.9995	1.0000	0.8333
AMR	UGT2B15	4	2	350	162	0.058	1.0000	1.0000	1.0000
AMR	XCL1	4	3	350	350	0.049	1.0000	1.0000	NA
AMR	ZNF443	4	3	350	349	0.040	1.0000	1.0000	1.0000
AMR	ZNF658	4	4	350	338	0.013	1.0000	1.0000	1.0000
AMR	ZNF773	4	3	350	350	0.046	1.0000	1.0000	NA
EAS	ABCC6_refcn4	4	5	506	408	0.016	0.9936	1.0000	0.9688
EAS	ACOT1	4	3	506	59	0.036	0.8293	0.8500	0.8283
EAS	ACSM2A	4	12	506	504	0.001	0.9998	1.0000	0.9545
EAS	ACSM5	4	11	506	505	0.001	1.0000	1.0000	1.0000
EAS	ACTR3B	4	8	506	487	0.007	0.9976	0.9992	0.9559
EAS	AKR1B10	4	4	506	506	0.004	1.0000	1.0000	NA
EAS	AKR1C1	4	7	506	506	0.004	1.0000	1.0000	NA
EAS	AKR7A3	4	3	506	506	0.023	1.0000	1.0000	NA
EAS	ALPP	4	7	506	179	0.024	0.8961	0.9931	0.8523
EAS	ANXA8_refcn4	4	11	506	477	0.005	0.9979	1.0000	0.9655
EAS	AQP12A	4	3	506	505	0.183	0.9948	0.9948	1.0000
EAS	ATAD3A_refcn4	4	10	506	494	0.030	0.9781	0.9799	0.9000
EAS	BMP8A	4	5	506	506	0.013	1.0000	1.0000	NA
