Population	gene	refcn	num_exon	num_samples	is_ref	nocall_rate	Comb_conc	Ref_conc	Nonref_conc
EUR	FCGR1A	6	6	506	392	0.015	0.9895	0.9862	1.0000
EUR	FCGR3A	4	5	506	400	0.009	0.9971	1.0000	0.9865
EUR	FKBP9	4	9	506	505	0.000	1.0000	1.0000	1.0000
EUR	FOLH1	4	18	506	498	0.000	0.9987	1.0000	0.9236
EUR	GBA	4	6	506	506	0.018	1.0000	1.0000	NA
EUR	GBP1	4	2	506	506	0.034	1.0000	1.0000	NA
EUR	GPR89A	4	14	506	505	0.000	1.0000	1.0000	1.0000
EUR	GRAP	4	3	506	390	0.116	1.0000	1.0000	1.0000
EUR	GSTT2	4	4	506	140	0.008	0.9795	0.9459	0.9863
EUR	GTF2H2	6	15	506	108	0.057	0.9395	0.8940	0.9492
EUR	GTF2I	6	22	506	372	0.029	0.8382	0.9668	0.5099
EUR	HBG1	4	3	506	506	0.024	0.9977	0.9977	NA
EUR	IFNL2	4	6	506	506	0.035	1.0000	1.0000	NA
EUR	KIF27	4	15	506	501	0.001	0.9998	1.0000	0.9846
EUR	KRT6A	6	5	506	506	0.035	1.0000	1.0000	NA
EUR	KRT81	4	3	506	506	0.027	1.0000	1.0000	NA
EUR	LIMS1	6	9	506	506	0.011	0.9916	0.9916	NA
EUR	LYZL1	4	3	506	506	0.033	1.0000	1.0000	NA
EUR	MSTO1	4	14	506	505	0.001	1.0000	1.0000	1.0000
EUR	MTX1	4	5	506	503	0.031	1.0000	1.0000	1.0000
EUR	NCF1	6	11	506	493	0.079	0.9836	0.9838	0.9773
EUR	NOMO1_refcn6	6	22	506	473	0.007	0.9885	0.9929	0.9294
EUR	NOX4	4	10	506	504	0.004	1.0000	1.0000	1.0000
EUR	OBP2A	4	4	506	506	0.187	1.0000	1.0000	NA
EUR	OCLN	4	5	506	160	0.008	1.0000	1.0000	1.0000
EUR	ORM1	4	6	506	444	0.027	0.7200	0.7608	0.4340
EUR	OTOA	4	9	506	32	0.023	0.9979	1.0000	0.9978
EUR	PDPK1	4	9	506	444	0.020	0.9939	0.9994	0.9550
EUR	PDPR	4	15	337	73	0.005	0.9778	1.0000	0.9734
EUR	PDZK1	4	7	506	505	0.004	1.0000	1.0000	1.0000
EUR	PGA3	6	9	506	171	0.050	0.7758	0.8015	0.7649
EUR	PPIP5K1	4	26	506	489	0.004	0.9880	0.9897	0.9412
EUR	PRB1	4	4	506	404	0.063	0.9694	0.9737	0.9574
EUR	RABL2A	4	8	506	506	0.005	0.9979	0.9979	NA
EUR	RHCE	4	10	506	196	0.021	0.9546	0.9824	0.9393
EUR	ROPN1	4	3	506	506	0.021	1.0000	1.0000	NA
EUR	RRP7A	4	6	506	393	0.114	0.9953	0.9971	0.9882
EUR	RSPH10B	4	19	506	499	0.002	0.9994	1.0000	0.9610
EUR	SAA1	4	2	506	505	0.113	1.0000	1.0000	NA
EUR	SERF1A	4	3	506	329	0.061	0.9949	0.9953	0.9942
EUR	SERHL2	4	9	506	392	0.015	1.0000	1.0000	1.0000
EUR	SERPINB3	4	5	506	23	0.002	0.6030	NA	0.6030
EUR	SMN1	4	9	506	264	0.025	0.9956	0.9991	0.9920
EUR	SMPD4	4	18	506	505	0.000	1.0000	1.0000	1.0000
EUR	SPAG11A	4	4	506	211	0.100	0.9864	0.9899	0.9841
EUR	STRC	4	28	506	487	0.001	0.9889	0.9914	0.9283
EUR	SUZ12	4	8	506	506	0.010	1.0000	1.0000	NA
EUR	TCP10L2	4	6	506	506	0.038	1.0000	1.0000	NA
EUR	THOC3	4	6	506	505	0.004	0.9979	1.0000	0.0000
EUR	TIMM23	4	7	506	506	0.003	0.9984	0.9984	NA
EUR	TRIM16	4	7	506	504	0.001	0.9980	1.0000	0.5119
EUR	TRIM49	6	6	506	505	0.093	0.9931	0.9931	1.0000
EUR	TRIM74	6	4	506	503	0.079	1.0000	1.0000	1.0000
EUR	TUBA3D	4	5	506	505	0.023	0.9979	0.9979	1.0000
EUR	TVP23B	4	7	506	505	0.002	0.9996	1.0000	0.8000
EUR	UGT2B15	4	2	506	218	0.017	0.9958	1.0000	0.9930
EUR	XCL1	4	3	506	506	0.039	1.0000	1.0000	NA
EUR	ZNF443	4	3	506	504	0.012	1.0000	1.0000	1.0000
EUR	ZNF658	4	4	506	478	0.012	0.9979	1.0000	0.9615
EUR	ZNF773	4	3	506	505	0.048	0.9978	1.0000	0.0000
SAS	ABCC6_refcn4	4	5	526	465	0.038	1.0000	1.0000	1.0000
SAS	ACOT1	4	3	526	227	0.004	1.0000	1.0000	1.0000
SAS	ACSM2A	4	12	526	524	0.002	0.9998	1.0000	0.9583
SAS	ACSM5	4	11	526	526	0.008	0.9989	0.9989	NA
SAS	ACTR3B	4	8	526	524	0.001	0.9997	1.0000	0.9375
SAS	AKR1B10	4	4	526	523	0.004	1.0000	1.0000	1.0000
SAS	AKR1C1	4	7	526	526	0.004	1.0000	1.0000	NA
SAS	AKR7A3	4	3	526	526	0.025	1.0000	1.0000	NA
SAS	ALPP	4	7	526	140	0.021	0.8671	1.0000	0.8354
SAS	ANXA8_refcn4	4	11	526	459	0.011	0.9979	0.9975	1.0000
SAS	AQP12A	4	3	526	524	0.039	1.0000	1.0000	1.0000
SAS	ATAD3A_refcn4	4	10	526	515	0.017	0.9934	0.9957	0.8985
SAS	BMP8A	4	5	526	526	0.004	1.0000	1.0000	NA
SAS	C1QTNF9	4	2	526	526	0.015	1.0000	1.0000	NA
SAS	C4A	4	41	526	262	0.006	0.9462	0.9760	0.9221
SAS	CATSPER2	4	12	526	503	0.000	0.9967	0.9998	0.9351
SAS	CCDC74A	4	8	526	524	0.003	0.9979	0.9979	1.0000
SAS	CD177	4	4	526	526	0.156	1.0000	1.0000	NA
SAS	CD8B	4	5	526	525	0.057	0.9996	1.0000	0.8000
SAS	CDK11A	4	16	526	465	0.019	1.0000	1.0000	1.0000
SAS	CDRT1	4	13	526	525	0.000	0.9998	1.0000	0.9231
SAS	CEL	4	5	526	466	0.030	1.0000	1.0000	1.0000
SAS	CELA3A	4	7	526	509	0.002	0.9982	1.0000	0.9510
SAS	CEP170_refcn4	4	15	526	526	0.017	1.0000	1.0000	NA
SAS	CFC1	4	6	526	525	0.014	1.0000	1.0000	1.0000
SAS	CHRNA7	4	6	526	443	0.004	1.0000	1.0000	1.0000
SAS	CKMT1A	4	9	526	504	0.000	0.9979	1.0000	0.9545
SAS	CSH1_refcn4	4	2	526	526	0.104	0.9975	0.9975	NA
SAS	CSH1_refcn6	6	3	526	160	0.134	0.6854	0.9891	0.5975
SAS	CTRB1	4	5	526	526	0.039	0.9972	0.9972	NA
SAS	CYP11B1	4	6	526	526	0.023	1.0000	1.0000	NA
SAS	CYP21A2	4	10	526	298	0.031	0.7808	0.7885	0.7727
SAS	CYP2D6	4	9	526	463	0.040	0.9956	1.0000	0.9655
SAS	CYP2F1	4	5	526	525	0.008	0.9986	1.0000	0.3333
SAS	CYP4A11	4	11	526	526	0.004	1.0000	1.0000	NA
SAS	CYP4Z1	4	8	526	526	0.002	1.0000	1.0000	NA
SAS	DDX11_refcn6	6	25	526	522	0.009	0.9915	0.9979	0.2500
SAS	DEFB103A	4	2	526	518	0.000	1.0000	NA	1.0000
SAS	DEFB104A	4	2	526	244	0.084	0.9907	1.0000	0.9839
SAS	DEFB105A	4	3	526	333	0.035	0.9940	1.0000	0.9891
SAS	DEFB106A	4	2	526	265	0.068	0.9951	1.0000	0.9916
SAS	DEFB107A	4	2	526	343	0.071	0.9880	1.0000	0.9766
SAS	DEFB4A	4	2	526	459	0.143	0.9912	0.9821	1.0000
SAS	DHX40	4	11	526	526	0.000	1.0000	1.0000	NA
SAS	EIF3C	4	20	526	423	0.007	1.0000	1.0000	1.0000
SAS	EMB_refcn4	4	6	526	526	0.017	1.0000	1.0000	NA
SAS	FAM185A	4	7	301	300	0.079	0.9994	1.0000	0.8571
SAS	FBXW10	4	12	526	524	0.000	0.9998	1.0000	0.9583
SAS	FCGBP	4	18	526	76	0.034	0.8419	0.2500	0.8472
SAS	FCGR1A	6	6	526	391	0.027	1.0000	1.0000	1.0000
SAS	FCGR3A	4	5	526	380	0.011	1.0000	1.0000	1.0000
SAS	FKBP9	4	9	526	526	0.002	1.0000	1.0000	NA
SAS	FOLH1	4	18	526	524	0.004	0.9991	1.0000	0.7778
SAS	GBA	4	6	526	526	0.009	0.9978	0.9978	NA
SAS	GBP1	4	2	526	526	0.040	1.0000	1.0000	NA
SAS	GPR89A	4	14	526	524	0.001	1.0000	1.0000	1.0000
SAS	GRAP	4	3	526	242	0.059	0.9888	0.9943	0.9853
SAS	GSTT2	4	4	526	104	0.004	1.0000	1.0000	1.0000
SAS	GTF2H2	6	15	526	89	0.011	0.9805	1.0000	0.9787
SAS	GTF2I	6	22	526	178	0.022	0.5353	0.9839	0.3736
SAS	HBG1	4	3	526	526	0.022	0.9955	0.9955	NA
SAS	IFNL2	4	6	526	526	0.013	1.0000	1.0000	NA
SAS	KIF27	4	15	526	526	0.000	1.0000	1.0000	NA
SAS	KRT6A	6	5	526	526	0.028	1.0000	1.0000	NA
SAS	KRT81	4	3	526	526	0.013	1.0000	1.0000	NA
SAS	LGALS7	4	4	526	526	0.086	1.0000	1.0000	NA
SAS	LIMS1	6	9	526	525	0.017	0.9979	0.9979	1.0000
SAS	LYZL1	4	3	526	526	0.023	1.0000	1.0000	NA
SAS	MSTO1	4	14	526	526	0.000	1.0000	1.0000	NA
SAS	MTX1	4	5	526	511	0.015	0.9979	1.0000	0.9333
SAS	NCF1	6	11	526	517	0.039	0.9935	0.9978	0.7778
SAS	NOMO1_refcn6	6	22	526	462	0.007	0.9997	1.0000	0.9977
SAS	NOX4	4	10	526	526	0.005	1.0000	1.0000	NA
SAS	OBP2A	4	4	526	526	0.096	1.0000	1.0000	NA
SAS	OCLN	4	5	526	122	0.001	1.0000	1.0000	1.0000
SAS	ORM1	4	6	526	493	0.018	0.9933	1.0000	0.8966
SAS	OTOA	4	9	526	70	0.011	1.0000	1.0000	1.0000
SAS	PDPK1	4	9	526	498	0.008	1.0000	1.0000	1.0000
SAS	PDPR	4	15	526	179	0.021	1.0000	1.0000	1.0000
SAS	PDZK1	4	7	526	524	0.002	1.0000	1.0000	1.0000
SAS	PGA3	6	9	526	192	0.053	0.8161	0.8512	0.8025
SAS	PPIP5K1	4	26	526	502	0.001	0.9960	1.0000	0.9215
SAS	PRB1	4	4	526	479	0.076	0.9819	0.9824	0.9783
SAS	PVRIG	4	3	526	526	0.173	1.0000	1.0000	NA
SAS	RABL2A	4	8	526	524	0.000	1.0000	1.0000	1.0000
SAS	RHCE	4	10	526	336	0.001	0.9998	1.0000	0.9995
SAS	ROPN1	4	3	526	526	0.011	1.0000	1.0000	NA
SAS	RRP7A	4	6	526	375	0.080	0.9992	1.0000	0.9973
SAS	RSPH10B	4	19	526	526	0.002	0.9996	0.9996	NA
SAS	SAA1	4	2	526	526	0.112	1.0000	1.0000	NA
SAS	SERF1A	4	3	526	368	0.033	1.0000	1.0000	1.0000
SAS	SERHL2	4	9	526	376	0.001	1.0000	1.0000	1.0000
SAS	SERPINB3	4	5	526	50	0.021	0.6014	NA	0.6014
SAS	SMN1	4	9	526	355	0.011	0.9993	1.0000	0.9980
SAS	SMPD4	4	18	526	524	0.002	1.0000	1.0000	1.0000
SAS	SPAG11A	4	4	526	238	0.026	1.0000	1.0000	1.0000
SAS	STRC	4	28	526	503	0.000	0.9979	1.0000	0.9565
SAS	SUZ12	4	8	526	526	0.011	1.0000	1.0000	NA
SAS	TBC1D26	4	7	526	523	0.019	1.0000	1.0000	1.0000
SAS	TCP10L2	4	6	526	526	0.002	1.0000	1.0000	NA
SAS	THOC3	4	6	526	526	0.000	1.0000	1.0000	NA
SAS	TIMM23	4	7	526	526	0.004	1.0000	1.0000	NA
SAS	TRIM16	4	7	526	526	0.000	1.0000	1.0000	NA
SAS	TRIM49	6	6	526	521	0.067	0.9978	0.9977	1.0000
SAS	TRIM74	6	4	526	521	0.044	1.0000	1.0000	1.0000
SAS	TUBA3D	4	5	526	523	0.010	0.9975	0.9974	1.0000
SAS	TVP23B	4	7	526	525	0.000	1.0000	1.0000	1.0000
SAS	UGT2B15	4	2	526	135	0.011	1.0000	1.0000	1.0000
SAS	XCL1	4	3	526	526	0.032	1.0000	1.0000	NA
SAS	ZNF443	4	3	526	526	0.021	1.0000	1.0000	NA
SAS	ZNF658	4	4	526	503	0.006	1.0000	1.0000	1.0000
SAS	ZNF773	4	3	526	516	0.034	0.9837	1.0000	0.2500
