gene_type	gene	refcn	num_exon	num_samples	is_ref	is_nonref	nocall_rate	comb_acc_f1	ref_acc_f1	nref_acc_f1	comb_acc_f2	ref_acc_f2	nref_acc_f2
type_2	ROPN1	4	3	506	506	0	0.0207	1.0000	1.0000	NA	1.0000	1.0000	NA
type_2	SAA1	4	2	506	505	1	0.1125	1.0000	1.0000	NA	0.9900	0.9900	1.0000
type_2	SERPINB3	4	5	506	23	483	0.0021	0.6030	NA	0.6030	0.6036	NA	0.6036
type_2	TBC1D26	4	7	506	506	0	0.3067	1.0000	1.0000	NA	0.9832	0.9832	NA
type_2	TIMM23	4	7	506	506	0	0.0030	0.9984	0.9984	NA	NA	NA	NA
type_2	TRGV2	4	2	181	181	0	NA	NA	NA	NA	NA	NA	NA
type_2	TRGV3	4	2	181	181	0	NA	NA	NA	NA	NA	NA	NA
type_2	TRIM16	4	7	506	504	2	0.0009	0.9980	1.0000	0.5119	0.9793	0.9812	0.5119
type_2	TRIM74	6	4	506	503	3	0.0788	1.0000	1.0000	1.0000	NA	NA	NA
type_2	TUBA3D	4	5	506	505	1	0.0232	0.9979	0.9979	1.0000	0.9610	0.9614	0.8000
type_2	TVP23B	4	7	506	505	1	0.0021	0.9996	1.0000	0.8000	0.9933	0.9937	0.8000
type_2	UGT2B15	4	2	506	218	288	0.0166	0.9958	1.0000	0.9930	0.5417	0.9852	0.2417
type_2	XCL1	4	3	506	506	0	0.0394	1.0000	1.0000	NA	0.9950	0.9950	NA
type_2	ZNF443	4	3	506	504	2	0.0124	1.0000	1.0000	1.0000	0.9535	0.9573	0.0000
type_2	ZNF773	4	3	506	505	1	0.0476	0.9978	1.0000	0.0000	0.9583	0.9602	0.0000
type_3	CATSPER2	4	12	506	488	18	0.0009	0.9890	0.9914	0.9267	NA	NA	NA
type_3	CDRT1	4	13	506	505	1	0.0000	0.9983	1.0000	0.2000	NA	NA	NA
type_3	CYP21A2	4	10	506	308	198	0.0699	0.9705	0.9805	0.9565	NA	NA	NA
type_3	DHX40	4	11	506	506	0	0.0004	1.0000	1.0000	NA	NA	NA	NA
type_3	FAM185A	4	7	156	156	0	0.0000	1.0000	1.0000	NA	NA	NA	NA
type_3	GBP1	4	2	506	506	0	0.0336	1.0000	1.0000	NA	NA	NA	NA
type_3	GTF2I	6	22	506	372	134	0.0294	0.8382	0.9668	0.5099	NA	NA	NA
type_3	NCF1	6	11	506	493	13	0.0787	0.9836	0.9838	0.9773	NA	NA	NA
type_3	OCLN	4	5	506	160	346	0.0079	1.0000	1.0000	1.0000	NA	NA	NA
type_3	OTOA	4	9	506	32	474	0.0232	0.9979	1.0000	0.9978	NA	NA	NA
type_3	PDPK1	4	9	506	444	62	0.0196	0.9939	0.9994	0.9550	NA	NA	NA
type_3	PDPR	4	15	337	73	264	0.0049	0.9778	1.0000	0.9734	NA	NA	NA
type_3	PDZK1	4	7	506	505	1	0.0041	1.0000	1.0000	1.0000	NA	NA	NA
type_3	SERHL2	4	9	506	392	114	0.0152	1.0000	1.0000	1.0000	NA	NA	NA
type_3	STRC	4	28	506	487	19	0.0013	0.9889	0.9914	0.9283	NA	NA	NA
