NA07037.pooled_reads.bam	NA11892.pooled_reads.bam	NA11893.pooled_reads.bam	NA11894.pooled_reads.bam	NA11931.pooled_reads.bam	NA11932.pooled_reads.bam	NA11933.pooled_reads.bam	NA12287.pooled_reads.bam	NA12347.pooled_reads.bam	NA12348.pooled_reads.bam	NA12383.pooled_reads.bam	NA12413.pooled_reads.bam	NA12546.pooled_reads.bam	NA12749.pooled_reads.bam	NA12775.pooled_reads.bam	NA12776.pooled_reads.bam
206	256	215	216	186	105	199	225	136	162	180	248	247	193	140	252
2289	1800	1444	1582	1413	1020	2153	1892	1582	1505	1456	2198	2180	1877	1663	2609
1381	1185	971	1029	989	651	1391	1213	1028	942	910	1495	1435	1312	969	1660
813	684	604	696	527	369	817	814	602	567	595	868	866	768	613	1081
1592	1218	1012	1043	946	730	1512	1383	1126	1003	1004	1562	1471	1277	1062	1702
1219	1337	1106	1187	1027	740	1436	1454	961	849	977	1515	1461	1291	1086	1821
2200	1772	1529	1538	1499	1037	2138	1974	1556	1464	1397	2297	2103	1979	1553	2562
485	458	330	473	382	296	583	535	445	434	370	627	502	530	427	673
